codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida,
21215180,103,2016-04-25T18:50:00.000,0.4,BATALLON ROOKE  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.418.388.889,-7.524.866.667,Velocidad Viento (10 min),m/s,
21215160,103,2013-06-05T09:30:00.000,2.8,CERROS NOROCCIDENTALES  - AUT,TOLIMA,IBAGUE,ALTO MAGDALENA,4.470.361.111,-7.524.386.111,Velocidad Viento (10 min),m/s,
21185090,103,2019-08-24T20:50:00.000,0.7,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188.138.889,-7.496.047.222,Velocidad Viento (10 min),m/s,
21055070,103,2019-04-25T19:00:00.000,0.6,INZA - AUT,CAUCA,INZA,ALTO MAGDALENA,2.548.194.444,-7.606.394.444,Velocidad Viento (10 min),m/s,
21206930,103,2015-07-25T00:50:00.000,2.3,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRA,ALTO MAGDALENA,5.086.444.444,-7.402.216.667,Velocidad Viento (10 min),m/s,
21065501,103,2019-04-19T08:30:00.000,1.071.564,JORGE VILLAMIL  - AUT,HUILA,GIGANTE,ALTO MAGDALENA,2.325.552.778,-7.550.972.222,Velocidad Viento (10 min),m/s,
21195190,103,2014-10-27T10:50:00.000,3.8,PASCA - AUT,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.310.111.111,-7.431.175,Velocidad Viento (10 min),m/s,
21205012,103,2018-03-24T09:10:00.000,1.4,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,BOGOTA, D.C,ALTO MAGDALENA,4.638.083.333,-7.408.908.333,Velocidad Viento (10 min),m/s
21015040,103,2018-09-21T16:20:00.000,1.1,LA PRIMAVERA - AUT,HUILA,SALADOBLANCO,ALTO MAGDALENA,2.021.583.333,-7.611.433.333,Velocidad Viento (10 min),m/s,
21215190,103,2016-11-29T08:30:00.000,1.8,CAJAMARCA - AUT,TOLIMA,CAJAMARCA,ALTO MAGDALENA,4.435.666.667,-7.550.036.111,Velocidad Viento (10 min),m/s,
21105030,103,2019-07-25T08:20:00.000,1.3,ALGECIRAS - AUT,HUILA,ALGECIRAS,ALTO MAGDALENA,2.521.694.444,-7.532.225,Velocidad Viento (10 min),m/s,
21206790,103,2014-02-01T11:10:00.000,1.2,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCON,ALTO MAGDALENA,50.905,-7.388.125,Velocidad Viento (10 min),m/s,
21205660,103,2019-08-21T10:20:00.000,2.8,MERCEDES - AUT,CUNDINAMARCA,ANAPOIMA,ALTO MAGDALENA,4.581.888.889,-7.452.661.111,Velocidad Viento (10 min),m/s,
21195190,103,2017-06-20T00:10:00.000,1.2,PASCA - AUT,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.310.111.111,-7.431.175,Velocidad Viento (10 min),m/s,
22025040,103,2007-12-27T15:00:00.000,7.5,EL DIABLO,CAUCA,PAEZ,ALTO MAGDALENA,2.978,-76.064,Velocidad Viento (10 min),m/s,
